address,full_address,latitude,longitude
12 Dairy Farm Lane,12 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677615,1.366374835,103.7750825
2 Shunfu Road,2 SHUNFU ROAD JADESCAPE SINGAPORE 575742,1.351761632,103.8390467
21 Marina Way,21 MARINA WAY MARINA ONE RESIDENCES SINGAPORE 018978,1.276714985,103.8533269
3 Jalan Kemaman,3 JALAN KEMAMAN VERTICUS SINGAPORE 329343,1.326356381,103.8506602
5 Jalan Kemaman,"5, Jalan Kemaman, Balestier, Singapore, Central, 329325, Singapore",1.3264358,103.8507452
6 Hillview Rise,6 HILLVIEW RISE THE HILLIER SINGAPORE 667980,1.363033894,103.7641285
118 Killiney Road,118 KILLINEY ROAD KILLINEY 118 SINGAPORE 239555,1.297968007,103.8384081
45 Amber Road,45 AMBER ROAD AMBER 45 SINGAPORE 439886,1.302349979,103.9012679
51 Tampines Lane,51 TAMPINES LANE TREASURE AT TAMPINES SINGAPORE 528460,1.344089629,103.948084
2 Upper Serangoon Crescent,2 UPPER SERANGOON CRESCENT RIVERSAILS SINGAPORE 534035,1.378119953,103.9022963
Mariam Close,MARIAM CLOSE,1.361940234,103.9687044
Jalan Jintan,JALAN JINTAN,1.305766952,103.8344213
Casuarina Road,CASUARINA ROAD,1.374065993,103.8281148
Holland Grove View,HOLLAND GROVE VIEW,1.312581297,103.781449
Chwee Chian View,CHWEE CHIAN VIEW,1.279578948,103.7881171
Jalan Gelenggang,JALAN GELENGGANG,1.374316694,103.8302761
Braddell Road,BRADDELL ROAD,1.344036138,103.8394416
Huddington Avenue,HUDDINGTON AVENUE,1.367923252,103.86499
The Whitley Residences,THE WHITLEY RESIDENCES,1.325699579,103.8377295
Phillips Avenue,PHILLIPS AVENUE,1.363599668,103.8771935
Cowdray Avenue,COWDRAY AVENUE,1.36752875,103.8646183
Belgravia Drive,BELGRAVIA DRIVE,1.379583925,103.8648251
Nim Road,NIM ROAD,1.382138946,103.8630331
Springside View,SPRINGSIDE VIEW,1.406291406,103.8225761
85 Pheng Geck Avenue,85 PHENG GECK AVENUE NIN RESIDENCE SINGAPORE 348271,1.332996524,103.8699832
371 Beach Road,371 BEACH ROAD CITY GATE SINGAPORE 199597,1.302347543,103.86226
Sunset Square,SUNSET SQUARE,1.327388814,103.7680569
122 Beach Road,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,1.296356664,103.8573688
Lorong 17 Geylang,LORONG 17 GEYLANG,1.314204367,103.8785669
Tagore Avenue,TAGORE AVENUE,1.378992215,103.8293276
Langsat Road,LANGSAT ROAD,1.315365365,103.9027574
Jalan Rabu,JALAN RABU,1.35341004,103.8375028
Jalan Chorak,JALAN CHORAK,1.360408068,103.8815898
Upper Changi Road East,UPPER CHANGI ROAD EAST,1.338022978,103.9600373
Park Villas Terrace,PARK VILLAS TERRACE,1.367928185,103.8801377
Richards Avenue,RICHARDS AVENUE,1.362562706,103.8814288
Meng Suan Road,MENG SUAN ROAD,1.403522609,103.8137723
Lentor Place,LENTOR PLACE,1.388877897,103.8351313
Miltonia Close,MILTONIA CLOSE,1.417904373,103.8473919
Gerald Drive,GERALD DRIVE,1.386625056,103.878445
Jalan Kampong Chantek,JALAN KAMPONG CHANTEK,1.34302036,103.7886752
15 Minbu Road,15 MINBU ROAD MANDALAY MANSION SINGAPORE 308166,1.323849439,103.8492675
2 Sing Joo Walk,2 SING JOO WALK JOOL SUITES SINGAPORE 217811,1.315209058,103.8549193
Rosyth Road,ROSYTH ROAD,1.362712177,103.8765358
Garlick Avenue,GARLICK AVENUE,1.328353484,103.7910503
Lengkong Tujoh,LENGKONG TUJOH,1.328295785,103.9149971
Nim Terrace,NIM TERRACE,1.37939741,103.8635702
Jalan Tari Piring,JALAN TARI PIRING,1.399331305,103.8718197
Coral Island,28 CORAL ISLAND CORAL ISLAND SINGAPORE 098549,1.250806968,103.8457301
Oakwood Grove,OAKWOOD GROVE,1.426976382,103.7795939
Jalan Salang,JALAN SALANG,1.439214515,103.8260213
