full_address,corrected_address,lat,lng
406 ANG MO KIO AVE 10,406 ANG MO KIO AVENUE 10 HDB-ANG MO KIO SINGAPORE 560406,1.362004539,103.85387990000001
108 ANG MO KIO AVE 4,108 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560108,1.370966352,103.83820190000002
602 ANG MO KIO AVE 5,602 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560602,1.38070883,103.8353682
465 ANG MO KIO AVE 10,465 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560465,1.3662010409999998,103.857201
601 ANG MO KIO AVE 5,601 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560601,1.381041355,103.8351317
150 ANG MO KIO AVE 5,150 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560150,1.376806785,103.84201800000001
447 ANG MO KIO AVE 10,447 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560447,1.3674790140000002,103.8559671
218 ANG MO KIO AVE 1,218 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560218,1.365119086,103.84174250000001
571 ANG MO KIO AVE 3,571 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560571,1.3700550130000002,103.8548806
534 ANG MO KIO AVE 10,534 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560534,1.3740584630000001,103.8541682
233 ANG MO KIO AVE 3,233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233,1.36754925,103.8367406
235 ANG MO KIO AVE 3,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,1.366823609,103.8364912
219 ANG MO KIO AVE 1,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,1.36598198,103.840654
536 ANG MO KIO AVE 10,536A ANG MO KIO AVENUE 10 SINGAPORE 561536,1.374827955,103.853721
230 ANG MO KIO AVE 3,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,1.3688544519999999,103.8378964
570 ANG MO KIO AVE 3,570 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560570,1.369743586,103.85602309999999
624 ANG MO KIO AVE 4,624 ANG MO KIO AVENUE 4 HDB-ANG MO KIO SINGAPORE 560624,1.3815617119999999,103.8400023
441 ANG MO KIO AVE 10,441 ANG MO KIO AVENUE 10 HDB-ANG MO KIO SINGAPORE 560441,1.3660502780000001,103.8541683
625 ANG MO KIO AVE 9,625 ANG MO KIO AVENUE 9 YIO CHU KANG HEIGHTS SINGAPORE 560625,1.382200246,103.8412103
119 ANG MO KIO AVE 3,119 ANG MO KIO AVENUE 3 HDB-ANG MO KIO SINGAPORE 560119,1.369563443,103.84469890000001
255 ANG MO KIO AVE 4,255 ANG MO KIO AVENUE 4 KEBUN BARU VIEW SINGAPORE 560255,1.370654871,103.8346302
432 ANG MO KIO AVE 10,432 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560432,1.36830997,103.8536003
211 ANG MO KIO AVE 3,211 ANG MO KIO AVENUE 3 HDB-ANG MO KIO SINGAPORE 560211,1.3691969659999998,103.8416666
584 ANG MO KIO AVE 3,584 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560584,1.37071308,103.8534978
118 ANG MO KIO AVE 4,118 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560118,1.3732959359999999,103.8354757
333 ANG MO KIO AVE 1,333 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560333,1.3613425559999999,103.85169859999999
256 ANG MO KIO AVE 4,256 ANG MO KIO AVENUE 4 KEBUN BARU VIEW SINGAPORE 560256,1.370615176,103.8359677
330 ANG MO KIO AVE 1,330 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560330,1.3624318640000002,103.85103070000001
557 ANG MO KIO AVE 10,557 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560557,1.3716257019999998,103.8577361
302 ANG MO KIO AVE 3,302 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560302,1.3670898319999998,103.84566020000001
575 ANG MO KIO AVE 10,575 ANG MO KIO AVENUE 10 CHENG SAN COURT SINGAPORE 560575,1.371388551,103.8559533
509 ANG MO KIO AVE 8,509 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560509,1.374000865,103.8501398
472 ANG MO KIO AVE 10,472 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560472,1.3631439269999999,103.8581186
475 ANG MO KIO AVE 10,475 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560475,1.3626629780000001,103.8565159
629 ANG MO KIO AVE 4,629 ANG MO KIO AVENUE 4 YIO CHU KANG VIEW SINGAPORE 560629,1.38010475,103.84040870000001
546 ANG MO KIO AVE 10,546 ANG MO KIO AVENUE 10 CHENG SAN GREEN SINGAPORE 560546,1.373651239,103.8570222
131 ANG MO KIO AVE 3,131 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560131,1.371015364,103.8418003
254 ANG MO KIO AVE 4,254 ANG MO KIO AVENUE 4 KEBUN BARU VIEW SINGAPORE 560254,1.37020344,103.8346877
470 ANG MO KIO AVE 10,470 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560470,1.3640980790000001,103.8566942
463 ANG MO KIO AVE 10,463 ANG MO KIO AVENUE 10 HDB-ANG MO KIO SINGAPORE 560463,1.366947935,103.8574876
207 ANG MO KIO AVE 1,207 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560207,1.365820895,103.8428478
304 ANG MO KIO AVE 1,304 ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 560304,1.3662864280000002,103.8449948
646 ANG MO KIO AVE 6,646 ANG MO KIO AVENUE 6 ANG MO KIO 61 SINGAPORE 560646,1.379395177,103.84376359999999
328 ANG MO KIO AVE 3,328 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560328,1.3666179369999998,103.84786690000001
588C ANG MO KIO ST 52,588C ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 563588,1.37183157,103.85367099999999
588D ANG MO KIO ST 52,588D ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 564588,1.3717540069999998,103.85388329999999
101 ANG MO KIO AVE 3,101 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560101,1.370261584,103.8394679
430 ANG MO KIO AVE 3,430 ANG MO KIO AVENUE 3 CHONG BOON HEIGHTS SINGAPORE 560430,1.368992878,103.8527613
520 ANG MO KIO AVE 5,520 ANG MO KIO AVENUE 5 HDB-ANG MO KIO SINGAPORE 560520,1.373405406,103.8511342
716 ANG MO KIO AVE 6,716 ANG MO KIO AVENUE 6 HDB-ANG MO KIO SINGAPORE 560716,1.371477831,103.84586879999999
588A ANG MO KIO ST 52,588A ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 561588,1.3720768890000001,103.85278609999999
310A ANG MO KIO AVE 1,310A ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 561310,1.364812561,103.8438442
613 ANG MO KIO AVE 4,613A ANG MO KIO AVENUE 4 SINGAPORE 561613,1.378135921,103.838826
101 BEDOK NTH AVE 4,101 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460101,1.3344846670000001,103.9379247
548 BEDOK NTH AVE 1,548 BEDOK NORTH AVENUE 1 HDB-BEDOK SINGAPORE 460548,1.331310218,103.92685390000001
75 BEDOK NTH RD,75 BEDOK NORTH ROAD HDB-BEDOK SINGAPORE 460075,1.327914779,103.9421444
550 BEDOK NTH AVE 1,550 BEDOK NORTH AVENUE 1 HDB-BEDOK SINGAPORE 460550,1.33269318,103.92661740000001
1 BEDOK STH AVE 1,1 BEDOK SOUTH AVENUE 1 HDB-BEDOK SINGAPORE 460001,1.320852087,103.93372109999999
151 BEDOK RESERVOIR RD,151 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470151,1.335576195,103.9115458
54 CHAI CHEE ST,54 CHAI CHEE STREET CHAI CHEE GARDENS SINGAPORE 460054,1.329478409,103.92110509999999
50 CHAI CHEE ST,50 CHAI CHEE STREET CHAI CHEE GARDENS SINGAPORE 461050,1.329304314,103.9224158
105 BEDOK RESERVOIR RD,105 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470105,1.3291443790000002,103.9091128
528 BEDOK NTH ST 3,528 BEDOK NORTH STREET 3 HDB-BEDOK SINGAPORE 460528,1.334902876,103.9278382
534 BEDOK NTH ST 3,534 BEDOK NORTH STREET 3 HDB-BEDOK SINGAPORE 460534,1.333036982,103.92481219999999
77 BEDOK NTH RD,77 BEDOK NORTH ROAD HDB-BEDOK SINGAPORE 460077,1.328696112,103.94199559999998
116 BEDOK RESERVOIR RD,116 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470116,1.3310378459999999,103.9086416
18 BEDOK STH RD,18 BEDOK SOUTH ROAD SINGAPORE 469276,1.317840249,103.9293968
40 CHAI CHEE AVE,40 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461040,1.326043353,103.9264885
57 NEW UPP CHANGI RD,57B NEW UPPER CHANGI ROAD SINGAPORE 463057,1.32297631,103.941467
105 BEDOK NTH AVE 4,105 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460105,1.333722809,103.9365177
709 BEDOK RESERVOIR RD,709 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470709,1.3354160659999998,103.92235009999999
42 CHAI CHEE ST,42 CHAI CHEE STREET PING YI GARDENS SINGAPORE 461042,1.327978774,103.9258048
55 CHAI CHEE DR,55 CHAI CHEE DRIVE PING-AN GARDENS SINGAPORE 460055,1.326848469,103.9190156
2 BEDOK STH AVE 1,2 BEDOK SOUTH AVENUE 1 HDB-BEDOK SINGAPORE 460002,1.321301188,103.9332996
37 CHAI CHEE AVE,37 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461037,1.3254420040000001,103.92620759999998
425 BEDOK NTH RD,425 BEDOK NORTH ROAD GARDEN HILL SINGAPORE 460425,1.329369602,103.9290675
117 BEDOK NTH RD,117 BEDOK NORTH ROAD HDB-BEDOK SINGAPORE 460117,1.330654548,103.9384963
423 BEDOK NTH AVE 1,423 BEDOK NORTH AVENUE 1 GARDEN HILL SINGAPORE 460423,1.327976141,103.9275651
533 BEDOK NTH ST 3,533 BEDOK NORTH STREET 3 HDB-BEDOK SINGAPORE 460533,1.333580162,103.9242187
