mall_name,full_address,latitude,longitude
100 AM,100 TRAS STREET 100 AM SINGAPORE 079027,1.274588218,103.8434707
313@Somerset,313 ORCHARD ROAD OCBC 313@SOMERSET SINGAPORE 238895,1.301006569,103.8382466
Aperia,12 KALLANG AVENUE APERIA SINGAPORE 339511,1.30974242,103.8641016
Balestier Hill Shopping Centre,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,1.326124169,103.8437095
Bugis Cube,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1.298195005,103.8556555
Bugis Junction,230 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188024,1.300117893,103.8561916
Bugis+,BUGIS MRT STATION EXIT A,1.301204089,103.8559241
Capitol Piazza,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,1.293063359,103.8512935
Cathay Cineleisure Orchard,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1.301497434,103.8364448
Clarke Quay Central,"Clarke Quay, Hongkong Street, Clarke Quay, Raffles Place, Singapore, Central, 059667, Singapore",1.28818655,103.8463956
The Centrepoint,176A ORCHARD ROAD THE CENTREPOINT SINGAPORE 238844,1.301978045,103.8397589
City Square Mall,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,1.31147745,103.8567808
City Gate Mall,"Duo Galleria, Beach Road, Clarke Quay, Bugis, Singapore, Central, 189721, Singapore",1.2998811,103.8586566
CityLink Mall,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,1.292378607,103.854663
Duo,DUO RESIDENCES,1.299216621,103.8579968
Far East Plaza,14D SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228217,1.307311126,103.83394
Funan,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,1.291244006,103.8499848
Great World City,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,1.293154929,103.831928
HDB Hub,530 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310530,1.33218812,103.8470778
Holland Village Shopping Mall,"211 Holland Ave, Singapore 278967",1.3104547,103.7954048
ION Orchard,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,1.304042534,103.8318883
