station_name,type,lat,lng,name_with_type,travel_time,travel_distance
Jurong East,MRT,1.333207,103.742308,Jurong East MRT Station,1639,15424
Bukit Batok,MRT,1.349069,103.749596,Bukit Batok MRT Station,2126,17515
Bukit Gombak,MRT,1.359043,103.751863,Bukit Gombak MRT Station,2190,18618
Choa Chu Kang,MRT,1.385417,103.744316,Choa Chu Kang MRT Station,2435,21928
Yew Tee,MRT,1.397383,103.747523,Yew Tee MRT Station,2604,23394
Kranji,MRT,1.425302,103.762049,Kranji MRT Station,3088,30388
Marsiling,MRT,1.432579,103.77415,Marsiling MRT Station,2943,28756
Woodlands,MRT,1.436984,103.786406,Woodlands MRT Station,2838,27501
Admiralty,MRT,1.436984,103.786406,Admiralty MRT Station,2639,25627
Sembawang,MRT,1.449133,103.82006,Sembawang MRT Station,2461,23186
Yishun,MRT,1.4296659999999999,103.835044,Yishun MRT Station,2169,20089
Khatib,MRT,1.4174229999999999,103.832995,Khatib MRT Station,2048,18707
Yio Chu Kang,MRT,1.381765,103.844923,Yio Chu Kang MRT Station,1650,13733
Ang Mo Kio,MRT,1.370025,103.849588,Ang Mo Kio MRT Station,1605,12368
Bishan,MRT,1.3509200000000001,103.848206,Bishan MRT Station,1440,10024
Braddell,MRT,1.34055,103.847098,Braddell MRT Station,1335,8907
Toa Payoh,MRT,1.3324049999999998,103.847436,Toa Payoh MRT Station,1487,8241
Novena,MRT,1.3200889999999998,103.843405,Novena MRT Station,1072,6498
Newton,MRT,1.3138299999999998,103.838021,Newton MRT Station,930,5432
Orchard,MRT,1.304041,103.83179200000001,Orchard MRT Station,913,4140
Somerset,MRT,1.300508,103.83842800000001,Somerset MRT Station,690,3131
Dhoby Ghaut,MRT,1.299169,103.845799,Dhoby Ghaut MRT Station,677,2405
City Hall,MRT,1.2931190000000001,103.852089,City Hall MRT Station,537,1355
Raffles Place,MRT,1.284001,103.85155,Raffles Place MRT Station,0,0
Marina Bay,MRT,1.276481,103.854598,Marina Bay MRT Station,903,1408
Marina South Pier,MRT,1.2714219999999998,103.86358100000001,Marina South Pier MRT Station,957,2490
Tuas Link,MRT,1.340371,103.636866,Tuas Link MRT Station,3444,30568
Tuas West Road,MRT,1.330075,103.639636,Tuas West Road MRT Station,3210,29085
Tuas Crescent,MRT,1.321091,103.649075,Tuas Crescent MRT Station,3125,27666
Gul Circle,MRT,1.319809,103.66083,Gul Circle MRT Station,3086,26099
Joo Koon,MRT,1.327826,103.678318,Joo Koon MRT Station,2490,23607
Pioneer,MRT,1.337645,103.69742,Pioneer MRT Station,2250,20962
Boon Lay,MRT,1.3386200000000001,103.70581700000001,Boon Lay MRT Station,2161,20158
Lakeside,MRT,1.344264,103.72079699999999,Lakeside MRT Station,2062,18333
Chinese Garden,MRT,1.342436,103.732582,Chinese Garden MRT Station,1915,16969
Clementi,MRT,1.314925,103.765341,Clementi MRT Station,1642,11983
Dover,MRT,1.3114139999999999,103.778596,Dover MRT Station,1387,10207
Buona Vista,MRT,1.307337,103.79004599999999,Buona Vista MRT Station,1306,8840
Commonwealth,MRT,1.302439,103.798326,Commonwealth MRT Station,1177,7836
Queenstown,MRT,1.294867,103.805902,Queenstown MRT Station,1069,6628
Redhill,MRT,1.289674,103.816787,Redhill MRT Station,908,5086
Tiong Bahru,MRT,1.286555,103.82695600000001,Tiong Bahru MRT Station,835,3984
Outram Park,MRT,1.280319,103.83945899999999,Outram Park MRT Station,735,2625
Tanjong Pagar,MRT,1.276385,103.84677099999999,Tanjong Pagar MRT Station,545,1434
Bugis,MRT,1.3007469999999999,103.855873,Bugis MRT Station,686,2553
Lavender,MRT,1.307577,103.863155,Lavender MRT Station,750,3349
Kallang,MRT,1.311532,103.871372,Kallang MRT Station,942,4467
