,station_name,type,lat,lng,mrt_station_code,address
0,Jurong East,MRT,1.333207,103.742308,,
1,Bukit Batok,MRT,1.349069,103.749596,,
2,Bukit Gombak,MRT,1.359043,103.751863,,
3,Choa Chu Kang,MRT,1.385417,103.744316,,
4,Yew Tee,MRT,1.397383,103.747523,,
5,Kranji,MRT,1.425302,103.762049,,
6,Marsiling,MRT,1.432579,103.77415,,
7,Woodlands,MRT,1.436984,103.786406,,
8,Admiralty,MRT,1.436984,103.786406,,
9,Sembawang,MRT,1.449133,103.82006,,
10,Yishun,MRT,1.4296659999999999,103.835044,,
11,Khatib,MRT,1.4174229999999999,103.832995,,
12,Yio Chu Kang,MRT,1.381765,103.844923,,
13,Ang Mo Kio,MRT,1.370025,103.849588,,
14,Bishan,MRT,1.3509200000000001,103.848206,,
15,Braddell,MRT,1.34055,103.847098,,
16,Toa Payoh,MRT,1.3324049999999998,103.847436,,
17,Novena,MRT,1.3200889999999998,103.843405,,
18,Newton,MRT,1.3138299999999998,103.838021,,
19,Orchard,MRT,1.304041,103.83179200000001,,
20,Somerset,MRT,1.300508,103.83842800000001,,
21,Dhoby Ghaut,MRT,1.299169,103.845799,,
22,City Hall,MRT,1.2931190000000001,103.852089,,
23,Raffles Place,MRT,1.284001,103.85155,,
24,Marina Bay,MRT,1.276481,103.854598,,
25,Marina South Pier,MRT,1.2714219999999998,103.86358100000001,,
26,Tuas Link,MRT,1.340371,103.636866,,
27,Tuas West Road,MRT,1.330075,103.639636,,
28,Tuas Crescent,MRT,1.321091,103.649075,,
29,Gul Circle,MRT,1.319809,103.66083,,
30,Joo Koon,MRT,1.327826,103.678318,,
31,Pioneer,MRT,1.337645,103.69742,,
32,Boon Lay,MRT,1.3386200000000001,103.70581700000001,,
33,Lakeside,MRT,1.344264,103.72079699999999,,
34,Chinese Garden,MRT,1.342436,103.732582,,
35,Clementi,MRT,1.314925,103.765341,,
36,Dover,MRT,1.3114139999999999,103.778596,,
37,Buona Vista,MRT,1.307337,103.79004599999999,,
38,Commonwealth,MRT,1.302439,103.798326,,
39,Queenstown,MRT,1.294867,103.805902,,
40,Redhill,MRT,1.289674,103.816787,,
41,Tiong Bahru,MRT,1.286555,103.82695600000001,,
42,Outram Park,MRT,1.280319,103.83945899999999,,
43,Tanjong Pagar,MRT,1.276385,103.84677099999999,,
44,Bugis,MRT,1.3007469999999999,103.855873,,
45,Lavender,MRT,1.307577,103.863155,,
46,Kallang,MRT,1.311532,103.871372,,
47,Aljunied,MRT,1.316474,103.882762,,
