mrt_station_code,mrt_station_name
TE1,Woodlands North
TE2,Woodlands
TE3,Woodlands South
TE4,Springleaf
TE5,Lentor
TE6,Mayflower
TE7,Sin Ming
TE8,Upper Thomson
TE9,Caldecott
TE10,Mount Pleasant
TE11,Stevens
TE12,Napier
TE13,Orchard Boulevard
TE14,Orchard
TE15,Great World
TE16,Havelock
TE17,Outram Park
TE18,Maxwell
TE19,Shenton Way
TE20,Marina Bay
TE21,Marina South
TE22,Gardens By The Bay
TE22A,Founders' Memorial
TE23,Tanjong Rhu
TE24,Katong Park
TE25,Amber
TE26,Marine Parade
TE27,Marine Terrace
TE28,Siglap
TE29,Bayshore
TE30,Bedok South
TE31,Sungei Bedok
