address,area,bathrooms,bedrooms,lease,link,name,price,property_type,psf_price
331 Choa Chu Kang Avenue 3 - D23,947 sqft / 87.97 sqm,2,3,2015 - 99 years,https://www.99.co/singapore/sale/property/the-rainforest-condo-qTXf46YXW9wFX489n6qrDm?enquiry_position=1&enquiry_source=Search,The Rainforest,"$928,000",Condo,$980 psf
343 Choa Chu Kang Avenue 3 - D23,"1,420 sqft / 131.92 sqm",3,3,2015 - 99 years,https://www.99.co/singapore/sale/property/the-rainforest-condo-B4LobmXKeggSzV9a8oFfgd?enquiry_position=2&enquiry_source=Search,The Rainforest,"$1,300,000",Condo,$915 psf
70 Sengkang Square - D19,753 sqft / 69.95 sqm,2,2,2016 - 99 years,https://www.99.co/singapore/sale/property/la-fiesta-condo-d5NB4QebnbpzPrF9h7KoT6?enquiry_position=3&enquiry_source=Search,La Fiesta,"$960,000",Condo,"$1,275 psf"
26 Jalan Datoh - D12,"1,410 sqft / 130.99 sqm",3,3,2013 - Freehold,https://www.99.co/singapore/sale/property/vista-residences-condo-yHoWmU5iSGrdfo9TsqBhW9?enquiry_position=4&enquiry_source=Search,Vista Residences,"$2,300,000",Condo,"$1,631 psf"
2 Sing Joo Walk - D8,624 sqft / 57.97 sqm,1,2,2014 - Freehold,https://www.99.co/singapore/sale/property/jool-suites-condo-jEx3DrwCg3ZnmWYnnDUJwA?enquiry_position=5&enquiry_source=Search,Jool Suites,"$1,050,000",Condo,"$1,683 psf"
906 Sims Avenue - D14,958 sqft / 89.00 sqm,,,2022 - 99 years,https://www.99.co/singapore/sale/property/parc-esta-condo-d44hhjVrmP5BVoDCUPbuUD?enquiry_position=6&enquiry_source=Search,Parc Esta,"$1,527,000",Condo,"$1,594 psf"
122 Beach Road - D7,409 sqft / 37.99 sqm,1,1,2022 - 99 years,https://www.99.co/singapore/sale/property/midtown-bay-condo-vrrkTMBcSJwkb7Q6xmQ8HE?enquiry_position=7&enquiry_source=Search,Midtown Bay,"$1,397,700",Condo,"$3,417 psf"
275 Bedok South Avenue 3 - D16,850 sqft / 78.96 sqm,2,2,2017 - 99 years,https://www.99.co/singapore/sale/property/eco-condo-T2Q7jt7zunNr238aKn6DS8?enquiry_position=8&enquiry_source=Search,Eco,"$1,290,000",Condo,"$1,518 psf"
8 Tanah Merah Kechil Link - D16,441 sqft / 40.97 sqm,1,1,2016 - 99 years,https://www.99.co/singapore/sale/property/urban-vista-condo-8apsvLtQCLtQW3BPEPcj89?enquiry_position=9&enquiry_source=Search,Urban Vista,"$888,000",Condo,"$2,014 psf"
95 Prince Charles Crescent - D3,"1,076 sqft / 99.96 sqm",3,3,2019 - 99 years,https://www.99.co/singapore/sale/property/principal-garden-condo-8MuxFqTwJxnP7yx3j3CFaX?enquiry_position=10&enquiry_source=Search,Principal Garden,"$2,152,000",Condo,"$2,000 psf"
28 Bedok North Drive - D16,"1,442 sqft / 133.96 sqm",2,3,2015 - 99 years,https://www.99.co/singapore/sale/property/bedok-residences-condo-j39GFTzkKnkhvCGWiLycn7?enquiry_position=11&enquiry_source=Search,Bedok Residences,"$2,010,000",Condo,"$1,394 psf"
50 Marine Parade Road - D15,"1,066 sqft / 99.03 sqm",2,2,2014 - 99 years,https://www.99.co/singapore/sale/property/silversea-condo-VGPfRCQnYCjDirioab6Kt4?enquiry_position=12&enquiry_source=Search,Silversea,"$1,930,000",Condo,"$1,811 psf"
218 Depot Road - D4,"1,259 sqft / 116.96 sqm",2,2,2015 - 99 years,https://www.99.co/singapore/sale/property/the-interlace-condo-zHDq7cn2avskXvT8aV7kDK?enquiry_position=13&enquiry_source=Search,The Interlace,"$1,730,000",Condo,"$1,374 psf"
25 Amber Road - D15,581 sqft / 53.97 sqm,1,1,2014 - Freehold,https://www.99.co/singapore/sale/property/the-cape-condo-gBTeRbpCPK2ZGpPitRb73j?enquiry_position=14&enquiry_source=Search,The Cape,"$1,328,000",Condo,"$2,286 psf"
279 Bedok South Avenue 3 - D16,"1,259 sqft / 116.96 sqm",3,3,2017 - 99 years,https://www.99.co/singapore/sale/property/eco-condo-riJMjCEnXMmvzzPGU3PDq4?enquiry_position=15&enquiry_source=Search,Eco,"$1,750,000",Condo,"$1,390 psf"
70 Sengkang Square - D19,753 sqft / 69.95 sqm,2,2,2016 - 99 years,https://www.99.co/singapore/sale/property/la-fiesta-condo-drrTSpTHPeKexzp4fBKJWi?enquiry_position=16&enquiry_source=Search,La Fiesta,"$960,000",Condo,"$1,275 psf"
88 Mackenzie Road - D9,840 sqft / 78.03 sqm,2,2,2009 - Freehold,https://www.99.co/singapore/sale/property/mackenzie-88-condo-hL3G4YVgYofEoijVU67as7?enquiry_position=17&enquiry_source=Search,Mackenzie 88,"$1,550,000",Condo,"$1,845 psf"
2 Shunfu Road - D20,764 sqft / 70.97 sqm,,,2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-qVHGJc8ZYnpiWxt7hBCan?enquiry_position=18&enquiry_source=Search,JadeScape,"$1,301,020",Condo,"$1,703 psf"
2 Shunfu Road - D20,527 sqft / 48.95 sqm,1,1,2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-YL2ujSmNxYrTNZJY6CzRM?enquiry_position=19&enquiry_source=Search,JadeScape,"$898,571",Condo,"$1,705 psf"
2 Shunfu Road - D20,527 sqft / 48.95 sqm,1,1,2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-e9FjoXaDi83NRZj3793wK8?enquiry_position=20&enquiry_source=Search,JadeScape,"$902,653",Condo,"$1,713 psf"
2 Shunfu Road - D20,527 sqft / 48.95 sqm,1,1,2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-UwwnEYQ77fGxQ3h9HLGnwH?enquiry_position=21&enquiry_source=Search,JadeScape,"$933,469",Condo,"$1,771 psf"
2 Shunfu Road - D20,646 sqft / 60.01 sqm,,,2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-m7jdqdfbdzmjFtb5hbtt4o?enquiry_position=22&enquiry_source=Search,JadeScape,"$1,208,367",Condo,"$1,871 psf"
2 Shunfu Road - D20,764 sqft / 70.97 sqm,,,2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-yhBy3rdA3sJag26VNCoWHh?enquiry_position=23&enquiry_source=Search,JadeScape,"$1,275,408",Condo,"$1,669 psf"
51 Tampines Lane - D18,678 sqft / 62.98 sqm,2,2,2023 - 99 years,https://www.99.co/singapore/sale/property/treasure-at-tampines-condo-MKDKEswNUn8tUP55sJ9Kx3?enquiry_position=24&enquiry_source=Search,Treasure at Tampines,"$890,000",Condo,"$1,313 psf"
51 Tampines Lane - D18,678 sqft / 62.98 sqm,2,2,2023 - 99 years,https://www.99.co/singapore/sale/property/treasure-at-tampines-condo-WPFhHNqHVNeFLavhcwphgm?enquiry_position=25&enquiry_source=Search,Treasure at Tampines,"$925,000",Condo,"$1,364 psf"
51 Tampines Lane - D18,915 sqft / 85.00 sqm,2,3,2023 - 99 years,https://www.99.co/singapore/sale/property/treasure-at-tampines-condo-WMusiegdCNUA6Fukwj5WMW?enquiry_position=26&enquiry_source=Search,Treasure at Tampines,"$1,118,000",Condo,"$1,222 psf"
51 Tampines Lane - D18,"1,033 sqft / 95.96 sqm",3,3,2023 - 99 years,https://www.99.co/singapore/sale/property/treasure-at-tampines-condo-j2dc4hm2zX5qCGFnRcxwZ7?enquiry_position=27&enquiry_source=Search,Treasure at Tampines,"$1,367,000",Condo,"$1,323 psf"
45 Amber Road - D15,"1,130 sqft / 104.98 sqm",2,3,2021 - Freehold,https://www.99.co/singapore/sale/property/amber-45-condo-VDdxoGJkMVAtPuTH7EyyW9?enquiry_position=28&enquiry_source=Search,Amber 45,"$2,258,000",Condo,"$1,998 psf"
45 Amber Road - D15,"1,346 sqft / 125.04 sqm",3,4,2021 - Freehold,https://www.99.co/singapore/sale/property/amber-45-condo-sXDbceYN7QwQZUJbDYxvkH?enquiry_position=29&enquiry_source=Search,Amber 45,"$2,691,000",Condo,"$1,999 psf"
45 Amber Road - D15,"1,518 sqft / 141.02 sqm",3,4,2021 - Freehold,https://www.99.co/singapore/sale/property/amber-45-condo-geE7FYmKWr2L5q4abSNdmY?enquiry_position=30&enquiry_source=Search,Amber 45,"$3,036,000",Condo,"$2,000 psf"
45 Amber Road - D15,"1,593 sqft / 147.99 sqm",4,4,2021 - Freehold,https://www.99.co/singapore/sale/property/amber-45-condo-WDkMUnqeWCtVbLHucq2fNe?enquiry_position=31&enquiry_source=Search,Amber 45,"$3,500,000",Condo,"$2,197 psf"
