address,amenities,area,bathrooms,bedrooms,description,details,lease,link,name,price,property_type,psf_price
85 Pheng Geck Avenue - D13,"Clubhouse,Gym,Sauna,Fitness Corner,Parking,Security,Lap Pool,BBQ","1,238 sqft / 115.01 sqm",,,"Nin 3 bedroom for sale with tenancy

Nearby developments include:
Right next to Potong Pasir MRT (2mins walking distance)
via MRT:
- 3mins to Nex Shopping Mall
- 4mins to City Square Mall
- 8mins to Dhoby Ghaut MRT Interchange (Plaza Singapura)
- 18mins to Orchard Road
- 21mins to Raffles Place
- 23mins to Marina Bay Sands

- Nin residences has well connected road and easy access to 3 major expressway. PIE, KPE and CTE which is well connected to other parts of the island.

St Andrews, Stamford American School and Cedars School are within 1 km radius for your children good education environment.
Via Car:
- 2mins to Cedar Girls&#39; Secondary School
- 3mins to Stamford American International School
- 5mins to St Andrew&#39;s Junior / Secondary School / Junior College

Squarish layout with spacious living, and bedroom area.

Good quality finishing provided-600mm x 600mm natural marble in living area, and timber strip flooring in all bedrooms.

Nestled in upcoming Bidadari Estate, this area is expected to grow in density, infrastrucure and the properties are likely to appreciate more.

GREAT VALUE!!

Nearby Developments include Sennett Residences, The Venue Residences, Blossoms @ Woodleigh, Parc Mondrian, Euro - Asia Park, Avon Park, Woodsville 28, 18 Woodsville, Poiz Residences, Casa Meya, Wan Tho Lodge, Moonstone Residences, Moonstone View, Meya Lodge, Platinum Edge, One Leicester, Suites @ Topaz, Leicester Suites, Park Colonial, Tre Ver, Affinity (U/C), Woodleigh Residence, Eight Riversuites, Park Colonial (U/C), Woodleigh Residences (U/C), The Tre Ver (U/C),  
PLS CALL Kevin ☎️ 97465616 FOR MORE DETAILS","Availability,Now,District,D13",2014 - 99 years,https://www.99.co/singapore/sale/property/nin-residence-condo-eJfzi7fQrkn5mitHYRv27F?enquiry_position=1&enquiry_source=Search,Nin Residence,"$1,600,000",Condo,"$1,292 psf"
Frankel Terrace - D15,"Maid Room,Low Floor,Greenery View,Ground Floor,Renovated","1,716 sqft / 159.42 sqm",3,4,"D15 2-Storey Terrace
New Listing!
I am the sole exclusive marketing agent. Call me for appointment timing fast before its too late

Siglap area 
Beautiful & Quiet 
Minutes drive to the buzzing area of Siglap
Regular land shape 

land area: 1,716sqft
Built in area: 2,315sqft 
4 1 Bedrooms 
3 Bathrooms

Must Sell

Shirlene Tan
88382238","Furnishing,Partially Furnished,Facing,South East,Availability,Now,Landed House Area Zoning,Others,District,D15",2014 - Freehold,https://www.99.co/singapore/sale/property/frankel-terrace-landed-QzJFqa6eRjr256MVXFPpEf?enquiry_position=5&enquiry_source=Search,Frankel Estate,"$3,200,000",Terraced House,"$1,865 psf"
122 Beach Road - D7,"Jogging Track,Open Terrace,Pavilion,Water Feature,Sky Terrace,Greenery View,Pool Deck,Meeting Room,Lounge,Sea View,Fitness Corner,Fibre Ready,Lap Pool,Balcony",409 sqft / 37.99 sqm,1,1,"EXPERIENCE PREMIUM CONDO LIVING IN THE HEART OF BEACH ROAD

BEACH ROAD –DISTRICT 7

All residents will enjoy exclusive membership to Midtown Hub, where they can network, socialize and connect with a like-minded community of innovative thought leaders. It is a space that is alive with energy and activity.

Project Highlights:

Residential Component of Guoco Midtown

Excellent Connectivity via 4 MRT lines / expressways

Conserved Building: Former Beach Road Police Station

Marina Bay & Kallang Basin Views

Work, Live & Play: Grade A offices, public & retail spaces, exclusive residences

A brand new condominium in District 7 developed by renowned developer, GuocoLand

Part of Guoco Midtown that comprises premium Grade A office space, public and retail spaces, exclusive residences, and the former Beach Road Police Station, a conserved building

Just 5 minutes’ walk to Bugis MRT Station and a short drive away to Esplanade and City Hall MRT stations to connect to the rest of the city

Located within Central Business District, at the intersection of two key development corridors along Beach Road and Ophir-Rochor Road

Key connector between 3 office micromarkets – City Hall, Marina Centre & Bugis

Served by four MRT lines and Nicoll Highway, as well as the North-South Expressway in the future

Great unit mix of 219 residential units consisting of 1 to 3 bedroom units ranging from 409sqft to 1,324 sqft

Shopping, dining and lifestyle amenities close by through Suntec City, Bugis Junction, Raffles City and Marina Bay Sands

Healthcare facilities easily a short drive away such as Raffles Hospital (North Bridge Road), Novena Medical Centre

Project Details:

Developer: Guocoland

Address: 122 Beach Road

Property Type: Private Condominium

Tenure: 99 year lease hold

Total Units: 219 units

Unit Mix: 1 bedroom, 2 bedroom, 2 bedroom duplex, 3 bedroom duplex

Call 83880009 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D07",2022 - 99 years,https://www.99.co/singapore/sale/property/midtown-bay-condo-vrrkTMBcSJwkb7Q6xmQ8HE?enquiry_position=3&enquiry_source=Search,Midtown Bay,"$1,397,700",Condo,"$3,417 psf"
Singapore 794453 - D28,High Floor,990 sqft / 91.97 sqm,2,3,"4 Room Premium Near Seletar Mall & LRT

New Listing!!!
High floor , Unblock View,
Corner unit
Upcoming Fernvale hub is just right beside with 
Wet market & Coffeeshop 
Pure Selling 
Don’t miss this great location unit.

Hurry! Call Christopher at 92275777 for viewing appointment now!
","Furnishing,Partially Furnished,Facing,South East,Availability,Now,District,D28",2015 - 99 years,https://www.99.co/singapore/sale/property/453d-fernvale-road-hdb-WmoUxrnTDL6SmfUzoTjgG4?enquiry_position=9&enquiry_source=Search,453D Fernvale Road,"$450,000",HDB 4 Rooms,$455 psf
371 Beach Road - D7,"Clubhouse,Function Room,Water Feature,Gym,Jacuzzi,Outdoor Dining,Jet Pool,Yoga Corner,Swimming Pool,Viewing Deck,Lounge,Mini Golf Range,Playground,Fitness Corner,Reflexology Path,BBQ",775 sqft / 71.99 sqm,2,2,"City gate 2 br dual key for sale with tenancy 
High floor
Take over ready tenancy!
Bright and breezy unit
Panoramic views 

Nearby developments: Concourse skyline, The Plaza, Duo Residence, Southbank

View to appreciate
Pls call Kevin 97465616","Availability,Now,District,D07",2019 - 99 years,https://www.99.co/singapore/sale/property/city-gate-condo-JEBCDeyoDG4cm78Jd4hvqL?enquiry_position=2&enquiry_source=Search,City Gate,"$1,650,000",Apartment,"$2,129 psf"
Oakwood Grove - D25,"Maid Room,Greenery View,Patio / PES,Renovated,Balcony","12,321 sqft / 1,144.65 sqm",8,9,"D25 Landed

Land size 12,312 Sqft
Current Built up 6,640 Sqft
Permitted Built up 8,600 Sqft

Asking was $6,200,000 (land $504 psf)
Price Reduced!!
Only $5,xxx,000.
Must sell!

Suitable for multi gen multi families
9 Rooms 8 Baths

Mins to Marsiling Central
Amenities nearby
Mins to BKE & SLE

Ground floor
2 Living room
1 huge dining area
1 granny/guest room en-suite
2 kitchen
2 bathrooms
Maids and stores

2nd floor
3 bedrooms en-suite
2 bedrooms/study 

3rd floor
1 living area
2 bedroom en-suite
1 study

Park more than 9 cars
Big garden potential for swimming pool

1KM to Fuchun Pri
1KM to Si Ling Pri

99 Leasehold from 1995 (Bal 75)","Furnishing,Unfurnished,Facing,East,Availability,Now,Landed House Area Zoning,Others,District,D25", - ,https://www.99.co/singapore/sale/property/oakwood-grove-landed-bejnzGh639EBdHQ9k7aXyT?enquiry_position=8&enquiry_source=Search,Oakwood Grove,"$5,500,008",Bungalow,$446 psf
Singapore 140149 - D3,Balcony,"1,528 sqft / 141.95 sqm",2,3,"  Breezy North-South orientation
  Spacious EA that can be converted to 4 bedroom
  Balcony with unblock view
  2-min walk to Queenstown MRT
  4-min walk to wet market & food centre
  5-min walk to Queenstown Sports Complex
  Chinese quota filled
  Only Indians, Malays & other races are eligible

Call Christopher at 92275777  for viewing appointment now!","Furnishing,Unfurnished,Facing,North,Availability,Now,District,D03",1995 - ,https://www.99.co/singapore/sale/property/149-mei-ling-street-hdb-SUk2SmrCjNL4n7pXUCXniM?enquiry_position=10&enquiry_source=Search,149 Mei Ling Street,"$1,028,000",HDB Executive,$673 psf
15 Minbu Road - D11,"Low Floor,Greenery View,Balcony","2,088 sqft / 193.98 sqm",4,4,"Looking for a brewing spot for potential collective sale?

RARE 5-Bedrooms FREEHOLD Apartment - MANDALAY MANSION (Last sold some time in 2016 June)

-  Freehold Apartment
-  Hard-to-come by property with potential for enbloc
-  Plot ratio of 2.8 potential is yet to be maximized
-  Total 25 units apartment

* Luxurious size 2088 sqft (193 sqm)
* Huge 4+1 bdrm and  4 bathrooms
* Tenanted (Median rent $7050 @$3.38psf. Source SRX)
* Ample nearby amenities including Malls, eateries, and schools
* Walking distance to Novena MRT, Shaw Plaza, Zhongshan mall

Balestier’s attraction is predominantly its freehold properties. This unit is a luxurious 2,088 sqft of your very own space. Large full pane windows that let in the picturesque view of greens straight into the living space.  Simple finishes that exude a sense of family warmth. Ample space for whole family to enjoy. 

Come View with me and ask questions By Contacting 82231481 now.

P/S: Viewing by Appointment Only.","Availability,Now,Tenancy Current Rent,S$6500,District,D11", - Freehold,https://www.99.co/singapore/sale/property/mandalay-mansion-condo-VD4kTtWbacMqbNpLuCkuFm?enquiry_position=7&enquiry_source=Search,Mandalay Mansion,"$2,250,000",Condo,"$1,078 psf"
14 Hougang Street 11 - D19,"Clubhouse,Games Room,Gym,Jacuzzi,Steam Room,Tennis Court,Parking,Balcony,Fibre Ready,Renovated,Maid Room,Swimming Pool,Playground,Fitness Corner,Security,Pool View,Lap Pool,BBQ","1,755 sqft / 163.04 sqm",4,4,"High Floor! Pool View! Perfect Own Stay!
Four bedders at The Minton for Sale!

* High floor
* Bright and breezy
* Awesome unblocked Pool view
* Well Renovated unit
* Move in condition
* Spacious 4 bedrooms
* Full condo facilities
* Mins walk to Serangoon mrt station (NorthEast & Circle line)

Viewing upon request.
Call David @ 82000013 for exclusive viewing.

The Minton is located Close to institutions such as Paya Lebar Methodist Girl's Primary School and Paya Lebar Methodist Girl's Secondary School. The Minton is also within walking distance to the stretch of eateries located at Lorong Liew Lian and Hougang Street. Residents can head to shopping centers like Upper Serangoon Shopping Center and ICB Shopping Center for amenities such as retail, supermarkets, restaurants, banks, and more. In addition, it is within reasonable driving distance to Tai Keng Shopping Center. For vehicle owners, driving from The Minton to the Central Business District (CBD) and Orchard Road takes 10 - 15 minutes, via Boundary Road and the Central Expressway (CTE).

Viewing upon request.
Hurry! Dont Miss! Call Christopher @ 92275777 for exclusive viewing appointment.

","Furnishing,Unfurnished,Facing,North,Availability,Now,District,D19",2014 - 99 years,https://www.99.co/singapore/sale/property/the-minton-condo-n7FoXQKoqjYqDjZK7t5PS4?enquiry_position=11&enquiry_source=Search,The Minton,"$1,920,000",Condo,"$1,094 psf"
Singapore 822663 - D19,"Aircon,Bed","1,216 sqft / 112.97 sqm",2,3,"Breathing Taking Unblock View! Breezy & Spacious! Unit For Sale


Rare, Scenic Waterway View.
- 100% move in condition.
- Breezy & Spacious hall perfect for family time.
- Hall is so spacious that it even allows you to create an additional study room!
- Kitchen is well equipped with generous floor space and plenty of storage.","Furnishing,Fully Furnished,District,D19", - 99 years,https://www.99.co/singapore/sale/property/663b-punggol-drive-hdb-ZMUqqZ9R42w2qKtcZTwxiT?enquiry_position=4&enquiry_source=Search,663B Punggol Drive,"$630,000",HDB 3 Rooms,$518 psf
