address,amenities,area,bathrooms,bedrooms,description,details,lease,link,name,price,property_type,psf_price
52 Upper Serangoon View - D19,"Multi-purpose Hall,Games Room,Water Feature,Gym,Jet Pool,Spa Pavilion,Waterfall,Tennis Court,Undrewater Fitness Station,Pond,Retail Shops,Sky Terrace,Balcony,Fun Pool,City View,Yoga Corner,Pool Deck,Viewing Deck,Mini Golf Range,Wading Pool,Playground,Fitness Corner,High Floor,Pool View,Lap Pool,BBQ",850 sqft / 78.96 sqm,2,3,"*** NEW EXCLUSIVE LISTING *** 

Kingsford Waterbay | High floor, Pool View, Huge, Breezy, Close Kitchen for Sale!

✔99 years Leasehold
✔850sqft
✔High Floor unit
✔Pool Facing Orientation
✔Well-ventilated unit (Breezy)
✔3 Bedroom + 2 Bathroom
✔Close Kitchen Layout
✔Spacious Living with Regular Layout
✔Dining area Big enough to fit a 8-seater dinning set
✔Brand New Unit (Never Stayed in before !)
✔Ziptrak (Fully covered blinds) can be installed to utilise the balcony space be it rain or shine
✔Utmost Privacy Facing Unblock View and other Residential Building opposite has a good distance from the unit
✔Close to both Hougang MRT (North-East Line) and Kovan MRT
✔Pre-School and childcare integrated in the condomimium
✔Minimart inside the condominium as well so you wont have to go out for simple groceries needs
✔NTUC (supermarket), clinic, hair salon and coffee shop just right beside the condominium
✔Beside Serangoon River and Park Connector Network that connects you to nature and downtown via cycling/running route

ACCESSIBILITY:
✔Well-connected to the rest of the island via KPE/TPE
✔3 min drive to Kovan and 16 min drive to Raffles Place (Central Business District)

SHOPPING/DINING/ENTERTAINMENT:
Heartland Mall
Hougang Mall
Midtown Mall

SCHOOLS:
Childcare Centre
Kindergarten
Holy Innocent Primary and Secondary School
Serangoon Secondary School

ABOUT THE PROJECT:
✔TOP 2018
✔Developer KINGSFORD PROPERTY DEVELOPMENT PTE LTD (Kingsford Development)
✔1165 units from 1 bedder to 4 bedder; and penthouse units
✔Nine blocks in total
✔Full condo facilities - 2 x 50m Lap pool, 300M stretch of water facilities, children wading pool, full tennis court, BBQ pits, gym, function rooms, Function room and multi-purpose room, integrated child care and shops in the condominium and much more

Call KC at +65 88092889 for an Exclusive viewing today!","Furnishing,Unfurnished,Availability,Now,District,D19",2018 - 99 years,https://www.99.co/singapore/sale/property/kingsford-waterbay-condo-Rmr9XRVVdepMfrqLJZaZST?enquiry_position=1&enquiry_source=Search,Kingsford Waterbay,"$1,190,000",Condo,"$1,400 psf"
9 Serangoon North View - D19,"Clubhouse,Jacuzzi,Tennis Court,Yoga Corner,Pavilion,Hammocks,Pool Deck,Lounge,Swimming Pool,Wading Pool,Spa Pool,Playground,Fitness Corner,Reflexology Path,BBQ,Hydrotherapy Pool","1,195 sqft / 111.01 sqm",3,4,"NEW LAUNCH 2018!
The Garden Residences - brand new PREMIUM 
4 BEDROOM Deluxe FOR SALE!

Beautiful Garden with Smart Home community.
Truly a masterpiece. 
The Garden Residences is a home for all. 
✅ Strong collaboration of Reputable Developers and Builder: Keppel Land / Wing Tai &amp; Dragages.
✅ Wide unit mix of 1 to 5 bedrooms.
✅ Highly efficient layout.
✅ 24 hours Gym overlooking 75m pool. 
✅ Over 100 species of plants along your own boardwalk. 
✅ Free shuttle bus to Serangoon MRT / NEX 
✅ Smart community to TOP it all.

Definitely a sought-after project, be it for own-stay or investment.

Come, MAKE AN APPOINTMENT with me to view the beautiful showsuites of The Garden Residences.

Unfamiliar with this estate? Give me a call. I&#39;ll be glad to walk you around.

The Garden Residences is Located at Serangoon North View with 70% of units over-looking landed houses.

SEARCH for the RIGHT agent:
https://goo.gl/uYxcuZ


Alex Ong 
93377333
www.TheGardenResidences.push.sg","Furnishing,Partially Furnished,District,D19",2021 - 99 years,https://www.99.co/singapore/sale/property/the-garden-residences-condo-TKXdgbzmBQ3w2mb9aRbZ6Z?enquiry_position=10&enquiry_source=Search,The Garden Residences,"$1,908,000",Condo,"$1,597 psf"
9 Serangoon North View - D19,"Clubhouse,Jacuzzi,Tennis Court,Yoga Corner,Pavilion,Hammocks,Pool Deck,Lounge,Swimming Pool,Wading Pool,Spa Pool,Playground,Fitness Corner,Reflexology Path,BBQ,Hydrotherapy Pool","1,539 sqft / 142.97 sqm",5,5,"NEW LAUNCH 2018!
The Garden Residences - brand new Premium 5- BEDROOM with Private Lift and 3 en-suites FOR SALE!

Beautiful Garden with Smart Home community.
Truly a masterpiece. 
The Garden Residences is a home for all. 
✅ Strong collaboration of Reputable Developers and Builder: Keppel Land / Wing Tai &amp; Dragages.
✅ Wide unit mix of 1 to 5 bedrooms.
✅ Highly efficient layout.
✅ 24 hours Gym overlooking 75m pool. 
✅ Over 100 species of plants along your own boardwalk. 
✅ Free shuttle bus to Serangoon MRT / NEX 
✅ Smart community to TOP it all.

Definitely a sought-after project, be it for own-stay or investment.

Come, MAKE AN APPOINTMENT with me to view the beautiful showsuites of The Garden Residences.

Unfamiliar with this estate? Give me a call. I&#39;ll be glad to walk you around.

The Garden Residences is Located at Serangoon North View with 70% of units over-looking landed houses.

SEARCH for the RIGHT agent:
https://goo.gl/uYxcuZ


Alex Ong 
93377333
www.TheGardenResidences.push.sg","Furnishing,Partially Furnished,District,D19",2021 - 99 years,https://www.99.co/singapore/sale/property/the-garden-residences-condo-ZcD73opUx5p9GWgB2dTiBk?enquiry_position=6&enquiry_source=Search,The Garden Residences,"$2,446,000",Condo,"$1,589 psf"
101 Prince Charles Crescent - D3,"Jogging Track,Clubhouse,Pool Deck,High Ceiling,Gym,Spa Pavilion,Jacuzzi,Tennis Court,Outdoor Dining,Balcony,Fun Pool,Renovated,Greenery View,Open Terrace,Lounge,Fibre Ready,Lap Pool,Hydrotherapy Pool",947 sqft / 87.97 sqm,2,2,"Dreaming of owning a Prestigious Iconic condominium surrounded by amenities with mere 5-mins drive to Orchard?

NEW RELEASE Villas stacks for SALE!

Introducing THE CREST,
2 / 3 / 4 bedrooms Brand new developer units FOR SALE!! Dual-key available also.

Rolling out THE EASIEST payment terms and move-in immediately.

THE PREFERENTIAL PAYMENT PLAN (PPP)

Pay no mortgage for the next 2 years
Only 5%* deposit to stay and own a unit.
Options to stay or lease out.
Further 5% only after 12 months
Final 90% after 24 months.

Special PERKS Exclusively for this scheme:
1) No Price Increased
2) Immediate Move-In
3) 12-months Defect Liability Period*
4) Lease out immediately after key collection
*Terms and conditions apply

Unique Selling Points:
1) Strategic location- Located in the tranquil Tanglin area bordering good class bungalows and embassies.
2) Close proximity to Orchard Road with CBD.
3) Walking distance to Redhill MRT. 
4) Iconic Architecture- Designed by award winning Toyo Ito. A stunning masterpiece in District 3
5) Park Connector- Direct and Easy access to Urban and Nature.
6) Low cash outlay- Less than the normal 20% booking fee needed. 

 A TIP TOP luxurious condominium with many unique selling points which results in units selling every week.

“Life peaks at The Crest”
Toyo Ito
Iconic
Preferential Payment Plan

Timeless
Opportunity
Park Connector

Search for the RIGHT agent:
https://goo.gl/uYxcuZ

Project IC
Alex Ong | OrangeTee
93377333
www.SgpropertyStar.com
www.the-crest.push.sg","Furnishing,Partially Furnished,Facing,North East,Availability,Now,District,D03",2018 - 99 years,https://www.99.co/singapore/sale/property/the-crest-condo-CstZwdRZpVhu9nLZT29evc?enquiry_position=9&enquiry_source=Search,The Crest,"$1,798,000",Condo,"$1,899 psf"
9 Serangoon North View - D19,"Clubhouse,Jacuzzi,Tennis Court,Yoga Corner,Pavilion,Hammocks,Pool Deck,Lounge,Swimming Pool,Wading Pool,Spa Pool,Playground,Fitness Corner,Reflexology Path,BBQ,Hydrotherapy Pool",904 sqft / 83.98 sqm,3,3,"NEW LAUNCH 2018!
The Garden Residences - brand new 3 + Study  FOR SALE!

Beautiful Garden with Smart Home community.
Truly a masterpiece. 
The Garden Residences is a home for all. 
✅ Strong collaboration of Reputable Developers and Builder: Keppel Land / Wing Tai & Dragages.
✅ Wide unit mix of 1 to 5 bedrooms.
✅ Highly efficient layout.
✅ 24 hours Gym overlooking 75m pool. 
✅ Over 100 species of plants along your own boardwalk. 
✅ Free shuttle bus to Serangoon MRT / NEX 
✅ Smart community to TOP it all.

Definitely a sought-after project, be it for own-stay or investment.

Come, MAKE AN APPOINTMENT with me to view the beautiful showsuites of The Garden Residences.

Unfamiliar with this estate? Give me a call. I'll be glad to walk you around.

The Garden Residences is Located at Serangoon North View with 70% of units over-looking landed houses.

SEARCH for the RIGHT agent:
https://goo.gl/uYxcuZ


Alex Ong 
93377333
www.TheGardenResidences.push.sg","Furnishing,Partially Furnished,District,D19",2021 - 99 years,https://www.99.co/singapore/sale/property/the-garden-residences-condo-R46tUgZaczKAydwHGqF99e?enquiry_position=5&enquiry_source=Search,The Garden Residences,"$1,379,000",Condo,"$1,525 psf"
101 Prince Charles Crescent - D3,"Fun Pool,Clubhouse,Pool Deck,Gym,Open Terrace,Spa Pavilion,Lounge,Jacuzzi,Tennis Court,Outdoor Dining,Lap Pool,Jogging Track,Hydrotherapy Pool","1,604 sqft / 149.01 sqm",4,4,"CHINESE NEW YEAR SPECIALS!!!!
The ONLY project with Special Deferred Payment (PPP) WITHOUT price increasing!

Gong Xi Huat promo!
Newly released Villa Blk 107 with *$88k discount! (Valid 1st - 28th Feb 2018)
Units come with ENHANCED premium specs with luxury fittings like Archlinea, Bang & Olufsen, Miele.

The MOST Irresistible project for ALL!
Dreaming of owning a Prestigious Iconic condominium surrounded by amenities with mere 5-mins drive to Orchard?

Introducing THE CREST,
2 / 3 / 4 bedrooms Brand new developer units FOR SALE!! Dual-key available also.

Rolling out THE EASIEST payment terms and move-in immediately.

THE PREFERENTIAL PAYMENT PLAN (PPP)

Pay no mortgage for the next 2 years
Only 5%* deposit to stay and own a unit.
Options to stay or lease out.
Further 5% only after 12 months
Final 90% after 24 months.

Special PERKS Exclusively for this scheme:
1) No Price Increased
2) Immediate Move-In
3) 12-months Defect Liability Period*
4) Lease out immediately after key collection
*Terms and conditions apply

Unique Selling Points:
1) Strategic location- Located in the tranquil Tanglin area bordering good class bungalows and embassies.
2) Close proximity to Orchard Road with CBD.
3) Walking distance to Redhill MRT. 
4) Iconic Architecture- Designed by award winning Toyo Ito. A stunning masterpiece in District 3
5) Park Connector- Direct and Easy access to Urban and Nature.
6) Low cash outlay- Less than the normal 20% booking fee needed. 

 A TIP TOP luxurious condominium with many unique selling points which results in units selling every week.

“Life peaks at The Crest”
Toyo Ito
Iconic
Preferential Payment Plan

Timeless
Opportunity
Park Connector

Search for the RIGHT agent:
https://goo.gl/uYxcuZ

Project IC
Alex Ong | OrangeTee
93377333
www.SgpropertyStar.com
www.the-crest.push.sg","Furnishing,Partially Furnished,District,D03",2018 - 99 years,https://www.99.co/singapore/sale/property/the-crest-condo-kFaSa3dHt75o2Ew32tDsJo?enquiry_position=8&enquiry_source=Search,The Crest,"$3,314,000",Condo,"$2,066 psf"
9 Serangoon North View - D19,"Clubhouse,Jacuzzi,Tennis Court,Yoga Corner,Pavilion,Hammocks,Pool Deck,Lounge,Swimming Pool,Wading Pool,Spa Pool,Playground,Fitness Corner,Reflexology Path,BBQ,Hydrotherapy Pool",452 sqft / 41.99 sqm,1,1,"NEW LAUNCH 2018!
Beautiful Garden with Smart Home community.

THE GARDEN RESIDENCES - CONNECTING YOU TO ALL THE ESSENTIALS OF LIFE
Overlooking one of Singapore's most-loved neighbourhoods, Serangoon Gardens, enjoy the convenience of being surrounded by a diverse selection of lifestyle, shopping and dining options.

THE GARDEN RESIDENCES - A FOOD AND BEVERAGE HAVEN AT YOUR DOORSTEP
From Singapore’s famous Chomp Chomp Food Centre and the Serangoon Garden Market and Food Centre, to the many cafes, restaurants and pubs nearby, your family will be spoilt for choice when you reside in one of Singapore’s most diverse spots for eating and drinking.

THE GARDEN RESIDENCES - LIVE, STUDY, WORK AND PLAY
There’s no better location to raise your family. Established educational institutions such as Rosyth School and Lycee Francais De Singapour are all within 1km.

Spend quality time together on the weekends at Serangoon Gardens with a choice of cool cafes, local food fare and lifestyle establishments or indulge in some retail therapy at the nearby NEX shopping mall. Work up a sweat at the Serangoon Stadium and Tavistock Avenue Park nearby or head to the Serangoon Gardens Country Club for a weekend brunch with family and friends.

Located at Serangoon North View with 70% of units over-looking landed houses.

SEARCH for the RIGHT agent:
https://goo.gl/uYxcuZ


Alex Ong 
93377333
www.TheGardenResidences.push.sg","Furnishing,Partially Furnished,District,D19",2021 - 99 years,https://www.99.co/singapore/sale/property/the-garden-residences-condo-4qd6pu94awo8GySiWjCvhm?enquiry_position=4&enquiry_source=Search,The Garden Residences,"$718,000",Condo,"$1,589 psf"
101 Prince Charles Crescent - D3,"Fun Pool,Clubhouse,City View,Pool View,Hydrotherapy Pool,High Ceiling,Greenery View,Open Terrace,Spa Pavilion,Lounge,Pool Deck,Utility Room,Jacuzzi,Tennis Court,High Floor,Outdoor Dining,Fibre Ready,Lap Pool,Gym,Jogging Track,Balcony","1,216 sqft / 112.97 sqm",2,3,"Dreaming of owning a Prestigious Iconic condominium surrounded by amenities with mere 5-mins drive to Orchard?

NEW RELEASE Villas stacks for SALE!

Introducing THE CREST,
2 / 3 / 4 bedrooms Brand new developer units FOR SALE!! Dual-key available also.

Rolling out THE EASIEST payment terms and move-in immediately.

THE PREFERENTIAL PAYMENT PLAN (PPP)

Pay no mortgage for the next 2 years
Only 5%* deposit to stay and own a unit.
Options to stay or lease out.
Further 5% only after 12 months
Final 90% after 24 months.

Special PERKS Exclusively for this scheme:
1) No Price Increased
2) Immediate Move-In
3) 12-months Defect Liability Period*
4) Lease out immediately after key collection
*Terms and conditions apply

Unique Selling Points:
1) Strategic location- Located in the tranquil Tanglin area bordering good class bungalows and embassies.
2) Close proximity to Orchard Road with CBD.
3) Walking distance to Redhill MRT. 
4) Iconic Architecture- Designed by award winning Toyo Ito. A stunning masterpiece in District 3
5) Park Connector- Direct and Easy access to Urban and Nature.
6) Low cash outlay- Less than the normal 20% booking fee needed. 

 A TIP TOP luxurious condominium with many unique selling points which results in units selling every week.

“Life peaks at The Crest”
Toyo Ito
Iconic
Preferential Payment Plan

Timeless
Opportunity
Park Connector

Search for the RIGHT agent:
https://goo.gl/uYxcuZ

Project IC
Alex Ong | OrangeTee
93377333
www.SgpropertyStar.com
www.the-crest.push.sg","Furnishing,Partially Furnished,Facing,North,Availability,Now,District,D03",2018 - 99 years,https://www.99.co/singapore/sale/property/the-crest-condo-8EhxbBBnBTBBA2CuEM5hdM?enquiry_position=3&enquiry_source=Search,The Crest,"$2,114,000",Condo,"$1,738 psf"
103 Prince Charles Crescent - D3,"Fun Pool,Clubhouse,Pool Deck,Gym,Open Terrace,Spa Pavilion,Lounge,Jacuzzi,Tennis Court,Outdoor Dining,Lap Pool,Jogging Track,Hydrotherapy Pool",797 sqft / 74.04 sqm,2,2,"THE CREST 
@ Prince Charles Crescent. 

Many units SOLD over the Weekend!!

Attractive Prices

All HIGH floors with stunning views! 
1 bedroom 657 - 710sqft
2 bedroom 775-1001sqft 
2 + Study 883-1044sqft 

All 3 bedrm with (PPP) 
Preferential Payment Plan-Only 5% & Move in!
3 bedroom 1184-1378 sqft 
Fr $2,185,000
(Choice of typical, loft and dual-key available)

Special 3-months Defect Liability Period (DLP) given by developer. 

Other choice units up to 4 bedroom dual-key available too. 
Operating hours: ‪11am – 6pm‬

Register with me to view this beautiful iconic condominium.
You will fall in love with this masterpiece. 

Make this your dream home now!

嘉御苑是新加坡市中心少见的无遮挡项目，站在高层远眺，城市百万风景线一览无余，尽显“花园城市”魅力！本次加推的103栋顶层就是23楼空中会所，更为便利，乘坐电梯可直达空中会所，享美好夕阳夜色，与亲朋好友共享美好时光。 

Project IC

Alex Ong
93377333
OrangeTee & Tie
www.SgpropertyStar.com","Furnishing,Partially Furnished,District,D03",2018 - 99 years,https://www.99.co/singapore/sale/property/the-crest-condo-XLTp8ZHsSuGtKgXTgjVX76?enquiry_position=7&enquiry_source=Search,The Crest,"$1,633,850",Condo,"$2,050 psf"
101 Prince Charles Crescent - D3,"Jogging Track,Clubhouse,Pool Deck,Gym,Spa Pavilion,Jacuzzi,Tennis Court,Outdoor Dining,Balcony,Fun Pool,City View,Renovated,Greenery View,Open Terrace,Lounge,Utility Room,High Floor,Lap Pool,Hydrotherapy Pool","1,163 sqft / 108.04 sqm",2,3,"Dreaming of owning a Prestigious Iconic condominium surrounded by amenities with mere 5-mins drive to Orchard?

NEW RELEASE Villas stacks for SALE!

Introducing THE CREST,
2 / 3 / 4 bedrooms Brand new developer units FOR SALE!! Dual-key available also.

Rolling out THE EASIEST payment terms and move-in immediately.

THE PREFERENTIAL PAYMENT PLAN (PPP)

Pay no mortgage for the next 2 years
Only 5%* deposit to stay and own a unit.
Options to stay or lease out.
Further 5% only after 12 months
Final 90% after 24 months.

Special PERKS Exclusively for this scheme:
1) No Price Increased
2) Immediate Move-In
3) 12-months Defect Liability Period*
4) Lease out immediately after key collection
*Terms and conditions apply

Unique Selling Points:
1) Strategic location- Located in the tranquil Tanglin area bordering good class bungalows and embassies.
2) Close proximity to Orchard Road with CBD.
3) Walking distance to Redhill MRT. 
4) Iconic Architecture- Designed by award winning Toyo Ito. A stunning masterpiece in District 3
5) Park Connector- Direct and Easy access to Urban and Nature.
6) Low cash outlay- Less than the normal 20% booking fee needed. 

 A TIP TOP luxurious condominium with many unique selling points which results in units selling every week.

“Life peaks at The Crest”
Toyo Ito
Iconic
Preferential Payment Plan

Timeless
Opportunity
Park Connector

Search for the RIGHT agent:
https://goo.gl/uYxcuZ

Project IC
Alex Ong | OrangeTee
93377333
www.SgpropertyStar.com
www.the-crest.push.sg","Furnishing,Partially Furnished,Facing,South East,Availability,Now,District,D03",2018 - 99 years,https://www.99.co/singapore/sale/property/the-crest-condo-edUqqNceUeg6fzbwEBgWnU?enquiry_position=13&enquiry_source=Search,The Crest,"$2,219,000",Condo,"$1,908 psf"
