address,amenities,area,bathrooms,bedrooms,description,details,lease,link,name,price,property_type,psf_price
6 Hillview Rise - D23,"Pavilion,Renovated,Greenery View,Pool Deck,Lounge,Swimming Pool,Hydrotherapy Pool,Tennis Court,Fitness Corner,Undrewater Fitness Station,High Floor,Gym,BBQ,Balcony",624 sqft / 57.97 sqm,1,1,"*Another Unit Brought To You By Evangeline * One Call View All *

Awesome 1 Study bedroom apartment with super high ceiling in this brand new home! It comes with an amazing greenery view!

It is conveniently located within approximately 6 mins walk to Hillview MRT bring you faster to the city via Downtown Line!

In addition, it is located DIRECTLY above HillV2 shopping mall with many eateries, clinic, supermarket and etc!

Stop right here to secure this amazing unit before it it gone!

Call Evangeline @ 9826 2987 to arrange for a viewing!","Furnishing,Partially Furnished,Availability,Now,District,D23",2016 - 99 years,https://www.99.co/singapore/sale/property/the-hillier-condo-HmYURnMrppnfkSVYwHGEb6,The Hillier,"$860,000",Condo,"$1,378 psf"
12 Dairy Farm Lane - D23,"Function Room,Water Feature,High Ceiling,Gym,Jet Pool,Yoga Corner,Tennis Court,Mid Floor,Undrewater Fitness Station,Outdoor Dining,Balcony,City View,Pool View,Renovated,Hammocks,Lap Pool,Greenery View,Pool Deck,Lounge,Wading Pool,Fountain,Playground,Fitness Corner,High Floor,Security,Fibre Ready,Reflexology Path,BBQ",624 sqft / 57.97 sqm,2,2,"DAIRY FARM RESIDENCES – BRIEF
Our development concept is derived from a self-contained complete life symbolised by a full circle. Without a start or an end, it signifies “infinity”, representing the endless possibilities one can enjoy in this integrated development. Here, you see a complete life at Dairy Farm Residences made up of 3 worlds: Nature. Retail. Home.
Occupying a site area of approximately 20,000 sqm, Dairy Farm Residences is the first unique integrated development in the Dairy Farm vicinity with two levels of retail (ground floor and basement 1). There will be a gourmet supermarket, a food hall, a childcare centre, food and beverage and retail shops offering a one stop convenience at the doorstep to residents and people living within the vicinity.
Located along Petir Road and Dairy Farm Road, there is unparallel connectivity via the Bukit Timah Expressway (BKE) and Upper Bukit Timah Road. Within just a kilometer from Hillview MRT on the Downtown Line, the development is highly accessible, close to prestigious schools and retail amenities, bringing together all of life’s essentials and pleasures under one roof. Aside from a conveniently located bus stop at Petir Road, there will also be a shuttle bus service from Dairy Farm Residences to Hillview & Bukit Panjang MRT stations.
Dairy Farm Residences is conveniently connected by cycling and pedestrian networks within the Western Adventure Loop and Rail Corridor (Central) of the Park Connector Network. With its close proximity to Dairy Farm Nature Park, Bukit Timah Nature Reserve, Zhenghua Nature Park, Chestnut Nature Park and Central Catchment Nature Reserve, Dairy Farm Residences is within the heart of the city’s most forested enclave; offering a true retreat from the hustle and bustle of urban Singapore,.
Representing living in harmony at its finest in a peaceful and calm environment surrounded by floral pleasure of greenery, Dairy Farm Residences offers 460 luxurious residential homes. Arranged in two exclusive 15-storey and two 5-storey towers, Dairy Farm Residences offers a choice of spacious 2, 3 and 4 bedroom layouts with the 2 bedroom units ranging from 624 to 775 sqft; the 3 bedroom 915 to 1,313 sqft and 4 bedroom 1,335 to 1,475 sqft. To safeguard residents’ privacy, the residential towers are segregated from the commercial podium. Separate car park spaces are provisioned in the basement levels. Vehicular and pedestrian access will be from Dairy Farm Lane.
Each unit will have extending balconies that welcome the essence of nature blending seamlessly into the home. Homes on the upper floors will enjoy spectacular picturesque views of the Bukit Timah Nature Park to the west and the Central Catchment Nature Reserve and Upper Pierce Reservoir to the east.
Inspired by wood grain patterns, the recreational zones are artistically stacked into levels that form The Woods, The Canopy and The Oasis. The infinity pool will have an undisrupted panoramic view of the surrounding nature, creating a unique experience of swimming in the sky. Located underneath the pool are pockets of intimate spaces such as function rooms, spa and gymnasium, effectively articulating subtle characters of the timber and transforming it into three-dimensional and unique spaces.
As the development has a large ratio of home to communal space, Dairy Farm Residences has the aspects of resort living within nature, a modern escape into the woods. To create a sense of space where residents can feel they have entered a realm of tranquility and comfort, other facilities include a an elegantly appointed multi-purpose clubhouse, 50m lap pool, all day dining spaces, barbeque pits, tennis court, sun deck and bespoke lifestyle pavilions. By allowing the residents to interact with the woods outside and within the development, we aim to offer an immersive experience of the woods; allowing residents to feel a sense of solitude and comfort being away from the busy outside world.
Dairy Farm Residences is also a residential development with a strong environmental conscience that actively embraces a sustainable way of living. A BCA’s Green Mark Gold Plus development and adopting a green and low energy approach, 90% of the units are in north–south orientation to reduce solar heat gain; while others will enjoy stunning pool views.
It’s time to discover a complete life at the Dairy Farm Residences.                                            http://virtualtours.sg/tours/dairyfarm/","Facing,North South,District,D23",2024 - 99 years,https://www.99.co/singapore/sale/property/dairy-farm-residences-condo-CB4Rz6Sdfb4FvgoKYrBnhJ,Dairy Farm Residences,"$969,000",Condo,"$1,553 psf"
5 Jalan Kemaman - D12,"Clubhouse,Bomb Shelter,Greenery View,Swimming Pool,Wading Pool,Squash Court,Parking,High Floor,Security,Fibre Ready,Gym,Balcony",635 sqft / 58.99 sqm,1,2,"VERTICUS – FREEHOLD at DISTRICT 12 – JALAN KEMAMAN

Located in the most undervalued RCR (Rest of Central Region) district, Verticus is a freehold development by SB (Kemaman) Development Pte Ltd. 

This development comprises of 162 units with a unit mix of 1 bedroom, 2 bedroom, 2 bedroom  study, 2 bedroom  studio dual key, 3 bedroom, 3 bedroom (premium), 2 bedroom  studio dual key penthouse, 3 bedroom penthouse and 4 bedroom penthouse.

Verticus is just next to Health City Novena (great tenant pool) and is within walking distance to Toa Payoh and Novena MRT station.

Huge land plot with condominium facilities located at city fringe, comfortably tucked away in the folds Balestier’s serenity.

Residents would be able to enjoy a wide selection of F&B options as the development is surrounded by famous eateries such as Balestier Market Food Court, Boon Tong Kee Chicken Rice, Balestier Bak Kut Teh, Wheeler’s Yard, Whampoa Market & Hawker Center and more.

There is variety of lifestyle amenities with Balestier Plaza & Shaw Plaza just minutes’ walk away from the development.Shopping malls such as United Square Shopping Mall, , Novena Square, Square 2 @ Novena are all a short distance away from the development.

Zhongshan Mall and Zhongshan Park are within walking distance - less than 5 minutes walk.

Project Highlights:

Freehold

Most undervalued RCR (Rest of Central Region) district

Huge upside potential

Next to Novena Healthcare City

Walking distance to Toa Payoh and Novena MRT

Near to international schools

Surrounded by famous eateries

Minutes walk to Balestier Plaza & Shaw Plaza and Zhongshan Mall.

Project Details:

Developer: SB (Kemaman) Development Pte Ltd

Address: 3 Jalan Kemaman

Property Type: Private Condominium

Tenure: Freehold

Total Units: 162

Unit Mix:1 bedroom, 2 bedroom, 2 bedroom  study, 2 bedroom  studio dual key, 3 bedroom, 3 bedroom (premium), 2 bedroom  studio dual key penthouse and 3 bedroom penthouse

Call 96304575 Now To Enquire.","Furnishing,Unfurnished,Availability,Now,District,D12",1993 - Freehold,https://www.99.co/singapore/sale/property/kemaman-point-condo-JGZ5DFVeJPVDh2fTxDVucA,Kemaman Point,"$1,244,000",,"$1,959 psf"
118 Killiney Road - D9,"City View,Renovated,Water Feature,Greenery View,Pool Deck,Rooftop Pool,Fitness Corner,Parking,Security,BBQ,Balcony",570 sqft / 52.95 sqm,1,1,"* Another Unit Brought To You By Evangeline * One Call View All * 

Killiney 118 Spacious 1 bdrm Unit for Sale
~Ideal for own Stay with personal prestige address in D9~
Dont miss living this chance to live in a prime location of Singapore! 


-Comfortably walk to Somerset MRT and modern malls like ,, Orchard Gateaway, Orchard Central and The Centrepoint
-NTUC supermarket, food court, cafe or PUB within reach 
-Very well kept condition, as good as brand new like recent TOP project 
-Freehold, TOP 2013 
-1 Bedroom with decent size of 570sqft
-Good for own stay or investmemt (good demand liked by good profile tenants)
-Good functional layout with decent balcony space for relaxation
-Balcony comes with planter area for creative landscaping
-Live in the heart of Singapore with good connectivity where everything is a stone's throw away
-Selling vacant 
-Serious seller

Call Evangeline @ 98262987 for exclusive viewing!


Development details: 
Killiney 118 is a freehold condominium development located at 118 Killiney Road. It has 6 storeys and comprises a total of 30 units. Condo Facilities at Killiney 118 Facilities at Killiney 118 include BBQ pits, basement car park, fitness corner, function room, pool deck and swimming pool. Condo Amenities near Killiney 118 The schools in the vicinity include Chatsworth International School, River Valley Primary School and Oversea Family School. For daily necessities and shopping needs, residents can head down to several shopping centres located within walking distance. 
","Availability,Now,District,D09",2013 - Freehold,https://www.99.co/singapore/sale/property/killiney-118-condo-XC6Uqis9DUA3UGzPLZExqC,Killiney 118,"$1,280,000",Condo,"$2,246 psf"
3 Jalan Kemaman - D12,"Clubhouse,Pool Deck,Sky Lounge,Gym,Tennis Court,Parking,Undrewater Fitness Station,Outdoor Dining,Sky Terrace,Balcony,Bomb Shelter,Pavilion,Greenery View,Open Terrace,Swimming Pool,Spa Pool,Playground,Fitness Corner,High Floor,Security,Fibre Ready,Lap Pool,BBQ",441 sqft / 40.97 sqm,1,1,"VERTICUS – DISTRICT 12 – JALAN KEMAMAN

Located in the most undervalued RCR (Rest of Central Region) district, Verticus is a freehold development by SB (Kemaman) Development Pte Ltd. This development comprises of 162 units with a unit mix of 1 bedroom, 2 bedroom, 2 bedroom   study, 2 bedroom   studio dual key, 3 bedroom, 3 bedroom (premium), 2 bedroom   studio key penthouse, 3 bedroom penthouse and 4 bedroom penthouse.

Verticus is just next to Novena healthcare city and is within walking distance to Toa Payoh and Novena MRT station.Residents would be able to enjoy a wide selection of F&B options as the development is surrounded by famous eateries such as Balestier Market Food Court, Boon Tong Kee, Balestier Bak Kut Teh, Wheeler’s Yard, Whampoa Market & Food Centre and more.

There is variety of lifestyle amenities with Balestier Plaza & Shaw Plaza just minutes’ walk away from the development.Shopping malls such as United Square Shopping Mall, , Novena Square, Square 2 @ Novena are all a short distance away from the development.

Zhongshan Mall and Zhongshan Park are within walking distance - less than 5 minutes walk.

Project Highlights:

Freehold

Most undervalued RCR (Rest of Central Region) district

Huge upside potential

Next to Novena Healthcare City

Walking distance to Toa Payoh and Novena MRT

Near to international schools

Surrounded by famous eateries


Minutes walk to Balestier Plaza & Shaw Plaza and Zhongshan Mall.

Project Details:

Developer: SB (Kemaman) Development Pte Ltd

Address: 3 Jalan Kemaman

Property Type: Private Condominium

Tenure: Freehold

Total Units: 162

Unit Mix:1 bedroom, 2 bedroom, 2 bedroom   study, 2 bedroom   studio dual key, 3 bedroom, 3 bedroom (premium), 2 bedroom   studio dual key penthouse and 3 bedroom penthouse

Call 96304575 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D12", - Freehold,https://www.99.co/singapore/sale/property/verticus-condo-NoPhGyiiym5Uqwn35txcKU,Verticus,"$889,000",Condo,"$2,016 psf"
21 Marina Way - D1,"Clubhouse,Gym,City View,Jacuzzi,Outdoor Dining,Balcony,Multi-purpose Hall,Bomb Shelter,Pavilion,Greenery View,Pool Deck,Lounge,Mini Golf Range,Wading Pool,Hydrotherapy Pool,Fitness Corner,High Floor,Fibre Ready,Lap Pool,BBQ",710 sqft / 65.96 sqm,2,1,"Prices dropped. Hurry! 
Brought to you by M+S. 

With 4 MRT stations to choose from, reaching out to the corners of Singapore has never been easier. 

Marina One, being flank by 2 parks namely: Central Linear Park & Marina South Station Park, provides the greenery and open space for families to enjoy the outdoor activities right in the city. 

With it's unique architectural design, The Heart @ Marina One will be an amazing feature within the development. 

Many luxury restaurants, retail shops situated within The Heart @ Marina One. 

City living has never been so convenient, with the many amenities available within the vicinity.","Facing,South West,Availability,Now,District,D01",2018 - 99 years,https://www.99.co/singapore/sale/property/marina-one-residences-condo-epsbRyicZT9cQT8vTAToF,Marina One Residences,"$1,580,000",Condo,"$2,225 psf"
2 Shunfu Road - D20,"Jogging Track,Games Room,Gym,Sea View,Steam Room,Tennis Court,Pond,Karaoke,Balcony,Infinity Pool,Pavilion,Greenery View,Lounge,Swimming Pool,Waterfall,Playground,Fibre Ready,Reflexology Path",646 sqft / 60.01 sqm,,,"Jadescape (Former Shunfu Ville)

Jadescape is situated along Shunfu Road, within close proximity to Bishan and Upper Thomson

Wide range of 613 units from 1 BR to 5 BR for different needs and budget

Approximately 7 minutes walk to Marymount MRT Station. Also within close proximity to the upcoming Thomson-East Coast Line station

Close proximity to various famous eateries and reputable schools like Raffles Institution and Catholic High

Good unit mix of 1 bedrooms to 5 bedroom units to suit different needs.

Call 88228988 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D20",2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-m7jdqdfbdzmjFtb5hbtt4o,JadeScape,"$1,208,367",Condo,"$1,871 psf"
2 Shunfu Road - D20,"Jogging Track,Games Room,Gym,Sea View,Steam Room,Tennis Court,Pond,Karaoke,Balcony,Infinity Pool,Pavilion,Greenery View,Lounge,Swimming Pool,Waterfall,Playground,Fibre Ready,Reflexology Path",764 sqft / 70.97 sqm,,,"Jadescape (Former Shunfu Ville)

Jadescape is situated along Shunfu Road, within close proximity to Bishan and Upper Thomson

Wide range of 613 units from 1 BR to 5 BR for different needs and budget

Approximately 7 minutes walk to Marymount MRT Station. Also within close proximity to the upcoming Thomson-East Coast Line station

Close proximity to various famous eateries and reputable schools like Raffles Institution and Catholic High

Good unit mix of 1 bedrooms to 5 bedroom units to suit different needs.

Call 88228988 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D20",2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-yhBy3rdA3sJag26VNCoWHh,JadeScape,"$1,275,408",Condo,"$1,669 psf"
2 Shunfu Road - D20,"Jogging Track,Games Room,Gym,Sea View,Steam Room,Tennis Court,Pond,Karaoke,Balcony,Infinity Pool,Pavilion,Greenery View,Lounge,Swimming Pool,Waterfall,Playground,Fibre Ready,Reflexology Path",527 sqft / 48.95 sqm,1,1,"Jadescape (Former Shunfu Ville)

Jadescape is situated along Shunfu Road, within close proximity to Bishan and Upper Thomson

Wide range of 613 units from 1 BR to 5 BR for different needs and budget

Approximately 7 minutes walk to Marymount MRT Station. Also within close proximity to the upcoming Thomson-East Coast Line station

Close proximity to various famous eateries and reputable schools like Raffles Institution and Catholic High

Good unit mix of 1 bedrooms to 5 bedroom units to suit different needs.

Call 88228988 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D20",2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-UwwnEYQ77fGxQ3h9HLGnwH,JadeScape,"$933,469",Condo,"$1,771 psf"
2 Shunfu Road - D20,"Jogging Track,Games Room,Gym,Sea View,Steam Room,Tennis Court,Pond,Karaoke,Balcony,Infinity Pool,Pavilion,Greenery View,Lounge,Swimming Pool,Waterfall,Playground,Fibre Ready,Reflexology Path",527 sqft / 48.95 sqm,1,1,"Jadescape (Former Shunfu Ville)

Jadescape is situated along Shunfu Road, within close proximity to Bishan and Upper Thomson

Wide range of 613 units from 1 BR to 5 BR for different needs and budget

Approximately 7 minutes walk to Marymount MRT Station. Also within close proximity to the upcoming Thomson-East Coast Line station

Close proximity to various famous eateries and reputable schools like Raffles Institution and Catholic High

Good unit mix of 1 bedrooms to 5 bedroom units to suit different needs.

Call 88228988 Now To Enquire.","Furnishing,Unfurnished,Facing,North South,Availability,Now,District,D20",2023 - 99 years,https://www.99.co/singapore/sale/property/jadescape-condo-YL2ujSmNxYrTNZJY6CzRM,JadeScape,"$898,571",Condo,"$1,705 psf"
